foxes, Cringe.....   [2020-09-14 23:41:51.027000]
violent j in a fursuit, Based!!!!!   [2020-09-14 23:41:34.405000]
furry artists, Based!!!!!   [2020-09-14 23:41:19.826000]
fiddleafox, Cringe!!!!!   [2020-09-14 23:41:06.353000]
fursonas, Cringe...   [2020-09-14 23:40:45.483000]
furries, Based...   [2020-09-14 23:40:40.597000]
swag god, Based.   [2020-09-14 23:40:22.151000]
eevee [the sona], Based.......   [2020-09-14 23:39:56.708000]
espeon, Cringe......   [2020-09-14 23:39:42.211000]
homestuck^2, Based.....   [2020-09-14 23:39:25.334000]
the homestuck epilogues, Cringe..   [2020-09-14 23:39:18.338000]
the assassination of john fitzgerald kennedy, Based!!!   [2020-09-14 23:38:36.994000]
stalin, Cringe!!!!   [2020-09-14 23:38:10.664000]
ice pick, Cringe.....   [2020-09-14 23:37:48.035000]
leon trotsky, Based...   [2020-09-14 23:37:41.682000]
marxism, Cringe!!   [2020-09-14 23:37:36.426000]
socialism, Cringe.   [2020-09-14 23:37:33.158000]
communism, Cringe!!!!!!!   [2020-09-14 23:37:29.999000]
fascism, Based!   [2020-09-14 23:37:13.223000]
patriotism, Cringe!!!!!!!   [2020-09-14 23:37:12.399000]
nationalism, Cringe...   [2020-09-14 23:36:59.944000]
religion, Cringe.......   [2020-09-14 23:36:49.591000]
the crucifixion of jesus, Based.....   [2020-09-14 23:36:27.898000]
asexuals, Cringe.....   [2020-09-14 23:35:46.924000]
the assassination of god, Based!!!!!!   [2020-09-14 23:35:46.810000]
rampaging lust, Cringe....   [2020-09-14 23:35:17.660000]
thumb mouse buttons, Cringe!!!!!!   [2020-09-14 23:35:09.311000]
mouse number keys, Cringe!!   [2020-09-14 23:34:53.288000]
middle mouse button, Cringe..   [2020-09-14 23:34:36.296000]
barack hussein obama, Based.......   [2020-09-14 23:33:54.497000]
jim fucking sterling son, Based!!!!!   [2020-09-14 23:33:38.909000]
andrew wilson, Cringe....   [2020-09-14 23:33:20.676000]
fifa, Based.   [2020-09-14 23:32:32.108000]
killjoy, Cringe!!   [2020-09-14 23:32:07.053000]
surprise mechanics, Cringe!!!   [2020-09-14 23:31:43.273000]
microtransactions, Cringe!   [2020-09-14 23:31:38.911000]
ea, Based.....   [2020-09-14 23:31:21.117000]
electronic arts, Based.......   [2020-09-14 23:27:35.782000]
turning players into payers, Cringe....   [2020-09-14 23:26:22.563000]
big gaming promoting crunch, Cringe!!!   [2020-09-14 23:23:16.522000]
electronic arts shutting down studios, Based.......   [2020-09-14 23:22:30.654000]
jeff bezos, Cringe......   [2020-09-14 23:22:06.028000]
donald j. trump, Cringe.....   [2020-09-14 23:21:47.306000]
slavery, Cringe...   [2020-09-14 23:21:02.310000]
adolf hitler, Cringe.   [2020-09-14 23:20:16.934000]
star wars battlefront 2 with microtransactions, Based!!!!!   [2020-09-14 23:19:06.419000]
pokémon, Cringe!!   [2020-09-14 23:17:05.113000]
simisear, Cringe.   [2020-09-14 23:16:49.813000]
arceus, Cringe...   [2020-09-14 23:15:55.063000]
pikachu, Cringe....   [2020-09-14 23:15:40.641000]
leafeon, Cringe!!!!   [2020-09-14 23:15:12.525000]
sylveon, Cringe....   [2020-09-14 23:14:59.586000]
eevee, Cringe.   [2020-09-14 23:14:48.614000]
